Iraw[0;1] R It 
0.88977 1.03335 48.74604
0.88887 1.03379 49.25311
0.88766 1.03423 49.75410
0.88672 1.03468 50.25407
0.88610 1.03514 50.75186
0.88450 1.03558 51.25128
0.88351 1.03603 51.74383
0.88275 1.03650 52.25388
0.88157 1.03697 52.75567
0.88061 1.03743 53.25398
0.87956 1.03790 53.74893
0.87836 1.03836 54.24218
0.87691 1.03884 54.75137
0.87605 1.03932 55.24942
0.87456 1.03980 55.74805
0.87344 1.04029 56.25044
0.87243 1.04078 56.74871
0.87086 1.04126 57.25583
0.87000 1.04176 57.74997
0.86873 1.04225 58.24641
0.86759 1.04276 58.74832
0.86649 1.04326 59.24484
0.86509 1.04378 59.75778
0.86402 1.04428 60.25249
0.86292 1.04479 60.74985
0.86171 1.04529 61.23594
0.86086 1.04583 61.74973
0.85924 1.04636 62.25826
0.85811 1.04687 62.75551
0.85705 1.04739 63.24579
0.85588 1.04792 63.75187
0.85474 1.04846 64.25672
0.85342 1.04898 64.75282
0.85221 1.04952 65.24697
0.85031 1.05005 65.75164
0.84898 1.05060 66.25531
0.84806 1.05114 66.75186
0.84596 1.05168 67.24750
0.84468 1.05222 67.74529
0.84207 1.05276 68.24236
0.84123 1.05333 68.75600
0.83911 1.05387 69.24328
0.83712 1.05443 69.75298
0.83482 1.05497 70.24695
0.83362 1.05554 70.75024
0.83047 1.05608 71.24135
0.82877 1.05664 71.74206
0.82806 1.05721 72.24514
0.82531 1.05778 72.74601
0.82297 1.05833 73.23811
0.82078 1.05891 73.74868
0.82021 1.05948 74.24520
0.81865 1.06007 74.74737
0.81714 1.06065 75.24653
0.81496 1.06119 75.73192
0.81361 1.06179 76.24516
0.81299 1.06235 76.73546
0.81111 1.06294 77.23065
0.80976 1.06351 77.73270
0.80768 1.06407 78.21158
0.80431 1.06472 78.77139
0.91367 1.26869 0.78584
0.91509 1.26912 2.66594
0.91650 1.26927 4.63650
0.91528 1.26934 5.29805
0.91616 1.26941 5.92017
0.91459 1.26947 6.35339
0.91443 1.26951 6.73537
0.91372 1.26957 7.18409
0.91572 1.26967 7.76663
0.91510 1.26975 8.22445
0.91488 1.26985 8.80107
0.91526 1.26994 9.26321
0.91459 1.27003 9.73323
0.91446 1.27014 10.26209
0.91406 1.27024 10.77563
0.91506 1.27037 11.29512
0.91469 1.27047 11.74246
0.91442 1.27060 12.26802
0.91411 1.27072 12.75581
0.91358 1.27084 13.22565
0.91280 1.27098 13.75051
0.91190 1.27112 14.25217
0.91153 1.27126 14.74122
0.91161 1.27141 15.24907
0.91085 1.27157 15.75027
0.91029 1.27173 16.26495
0.91020 1.27191 16.77331
0.90899 1.27206 17.26713
0.90890 1.27223 17.75811
0.90914 1.27241 18.23868
0.90746 1.27260 18.77153
0.90783 1.27280 19.27013
0.90652 1.27296 19.71191
0.90567 1.27317 20.26155
0.90588 1.27338 20.75871
0.90483 1.27358 21.24245
0.90523 1.27378 21.72073
0.90436 1.27401 22.24497
0.90336 1.27423 22.74117
0.90353 1.27447 23.26952
0.90235 1.27469 23.74974
0.90196 1.27491 24.21795
0.90171 1.27518 24.76799
0.90089 1.27541 25.24999
0.89957 1.27566 25.74974
0.89943 1.27592 26.27073
0.89896 1.27618 26.77710
0.89860 1.27641 27.21444
0.89815 1.27670 27.74514
0.89711 1.27697 28.25364
0.89730 1.27726 28.75377
0.89609 1.27753 29.24563
0.89538 1.27781 29.74584
0.89481 1.27809 30.22612
0.89447 1.27840 30.75899
0.89377 1.27869 31.22526
0.89299 1.27900 31.74629
0.89241 1.27931 32.24360
0.89151 1.27962 32.74881
0.89150 1.27995 33.25540
0.89048 1.28026 33.74865
0.88975 1.28060 34.27448
0.88902 1.28092 34.76229
0.88837 1.28125 35.24849
0.88744 1.28160 35.76648
0.88704 1.28192 36.24643
0.88555 1.28226 36.73685
0.88582 1.28263 37.26050
0.88540 1.28297 37.74283
0.88476 1.28334 38.25663
0.88373 1.28368 38.72928
0.88328 1.28408 39.26655
0.88230 1.28445 39.75949
0.88098 1.28482 40.25913
0.88038 1.28517 40.73085
0.87960 1.28555 41.22745
0.87862 1.28596 41.75537
0.87809 1.28637 42.27806
0.87726 1.28674 42.75210
0.87605 1.28712 43.22819
0.87527 1.28755 43.76069
0.87438 1.28794 44.24616
0.87295 1.28834 44.73781
0.87181 1.28877 45.26070
0.87103 1.28918 45.75077
0.87061 1.28959 46.23918
0.86927 1.29001 46.73217
0.86848 1.29044 47.22906
0.86765 1.29089 47.75855
0.86655 1.29131 48.23312
0.86585 1.29178 48.76095
0.86469 1.29220 49.24811
0.86353 1.29264 49.74518
0.86286 1.29311 50.25973
0.86181 1.29352 50.70780
0.86031 1.29400 51.24328
0.85919 1.29449 51.76787
0.85827 1.29492 52.23511
