I R cos(alpha)
0.80005 16.52506 0.97220
0.79683 16.52644 0.95217
0.79332 16.52846 0.92302
0.78850 16.53104 0.88583
0.78277 16.53407 0.84197
0.77567 16.53765 0.79024
0.76972 16.54138 0.73659
0.76034 16.54568 0.67449
0.75042 16.55015 0.60993
0.73869 16.55498 0.54033
0.72333 16.56015 0.46570
0.70596 16.56540 0.39010
0.69503 16.57037 0.31838
0.79858 17.03370 0.99990
0.80347 17.03455 0.98777
0.80165 17.03572 0.97074
0.79813 17.03712 0.95064
0.79373 17.03894 0.92434
0.78988 17.04156 0.88656
0.78463 17.04457 0.84312
0.77701 17.04814 0.79151
0.76981 17.05190 0.73735
0.76039 17.05641 0.67210
0.74899 17.06094 0.60670
0.73524 17.06580 0.53664
0.72287 17.07092 0.46269
0.70650 17.07624 0.38619
0.68858 17.08175 0.30673
0.67935 17.08733 0.22641
0.79989 17.53456 0.99855
0.80180 17.53511 0.99065
0.79801 17.53609 0.97643
0.79399 17.53773 0.95275
0.79018 17.53981 0.92280
0.78613 17.54232 0.88647
0.78056 17.54527 0.84392
0.77314 17.54877 0.79333
0.76574 17.55252 0.73932
0.75668 17.55692 0.67591
0.74609 17.56185 0.60479
0.73493 17.56677 0.53380
0.72004 17.57182 0.46094
0.70192 17.57673 0.39028
0.68454 17.58184 0.31629
0.79956 18.05084 0.99990
0.80306 18.05160 0.98897
0.80198 18.05263 0.97421
0.79742 18.05401 0.95412
0.79318 18.05618 0.92284
0.78988 18.05856 0.88850
0.78335 18.06157 0.84500
0.77612 18.06533 0.79071
0.76805 18.06926 0.73403
0.75775 18.07331 0.67568
0.74643 18.07784 0.61018
0.73519 18.08277 0.53918
0.71846 18.08793 0.46476
0.70386 18.09333 0.38691
0.69012 18.09852 0.31227
0.80444 18.55423 1.00000
0.80188 18.55482 0.99153
0.79855 18.55593 0.97545
0.79631 18.55761 0.95110
0.79355 18.55966 0.92168
0.78844 18.56204 0.88728
0.78289 18.56512 0.84281
0.77715 18.56868 0.79147
0.76961 18.57259 0.73507
0.76013 18.57675 0.67504
0.75148 18.58131 0.60924
0.73821 18.58632 0.53704
0.72704 18.59117 0.46698
0.70901 18.59715 0.38101
0.68567 18.60228 0.30685
0.67544 18.60901 0.21000
0.79883 19.04340 0.99932
0.80160 19.04410 0.98941
0.79965 19.04510 0.97504
0.79301 19.04663 0.95281
0.79089 19.04863 0.92399
0.78604 19.05108 0.88856
0.78152 19.05432 0.84190
0.77458 19.05805 0.78803
0.76809 19.06161 0.73662
0.75823 19.06568 0.67800
0.74708 19.07051 0.60837
0.73341 19.07540 0.53787
0.71460 19.08083 0.45952
0.70122 19.08547 0.39260
0.80265 19.53527 0.99890
0.80090 19.53588 0.99003
0.79978 19.53687 0.97583
0.79624 19.53835 0.95455
0.79157 19.54024 0.92720
0.78619 19.54295 0.88809
0.78130 19.54616 0.84179
0.77626 19.54954 0.79300
0.76904 19.55336 0.73785
0.76114 19.55771 0.67507
0.75080 19.56238 0.60790
0.73829 19.56704 0.54054
0.72288 19.57295 0.45539
0.70921 19.57808 0.38147
0.69263 19.58333 0.30587
0.68441 19.58907 0.22336
0.80566 20.03014 0.99841
0.80063 20.03061 0.99160
0.80111 20.03171 0.97580
0.79679 20.03337 0.95191
0.79271 20.03542 0.92214
0.78879 20.03794 0.88579
0.78218 20.04074 0.84534
0.77569 20.04473 0.78792
0.76850 20.04827 0.73678
0.76001 20.05227 0.67907
0.74813 20.05711 0.60922
0.73327 20.06239 0.53326
0.71362 20.06763 0.45768
0.70052 20.07130 0.40479
0.79858 20.54505 0.99990
0.80096 20.54694 0.97271
0.79856 20.54841 0.95159
0.79563 20.55031 0.92415
0.79083 20.55301 0.88512
0.78560 20.55589 0.84369
0.78055 20.55930 0.79450
0.77214 20.56343 0.73479
0.76386 20.56789 0.67058
0.75369 20.57197 0.61169
0.74107 20.57744 0.53286
0.72876 20.58219 0.46429
0.71267 20.58803 0.38024
0.69995 20.59285 0.31075
0.69321 20.59793 0.23765
0.80200 21.04784 0.99885
0.80073 21.04845 0.99009
0.79810 21.04947 0.97547
0.79634 21.05114 0.95134
0.79243 21.05327 0.92061
0.78786 21.05551 0.88829
0.78266 21.05855 0.84437
0.77701 21.06194 0.79555
0.77026 21.06604 0.73627
0.76241 21.07008 0.67805
0.75123 21.07455 0.61369
0.73711 21.08000 0.53503
0.71658 21.08521 0.45978
0.69889 21.08958 0.39700
0.67729 21.09396 0.33392
0.80168 21.55605 0.99856
0.80054 21.55674 0.98865
0.80063 21.55772 0.97455
0.79640 21.55909 0.95482
0.79233 21.56112 0.92547
0.78795 21.56361 0.88947
0.78321 21.56694 0.84150
0.77734 21.57037 0.79210
0.76844 21.57417 0.73729
0.76270 21.57814 0.67999
0.75151 21.58265 0.61490
0.73999 21.58820 0.53492
0.72123 21.59296 0.46631
0.70700 21.59919 0.37652
0.69832 21.60237 0.33089
0.80444 22.05222 1.00000
0.80096 22.05304 0.98812
0.80093 22.05387 0.97611
0.79680 22.05565 0.95048
0.79428 22.05731 0.92658
0.78923 22.06023 0.88434
0.78495 22.06306 0.84359
0.77919 22.06663 0.79212
0.77048 22.07070 0.73340
0.76241 22.07480 0.67424
0.75344 22.07909 0.61245
0.73896 22.08390 0.54309
0.72606 22.08942 0.46350
0.70757 22.09474 0.38689
0.69006 22.10001 0.31102
0.67426 22.10614 0.22275
0.80021 22.56589 0.99820
0.80291 22.56644 0.99025
0.79845 22.56740 0.97631
0.79627 22.56900 0.95324
0.79260 22.57088 0.92620
0.78893 22.57368 0.88577
0.78419 22.57672 0.84196
0.77902 22.57971 0.79878
0.77176 22.58398 0.73726
0.76315 22.58784 0.68152
0.75345 22.59300 0.60723
0.73917 22.59826 0.53143
0.72303 22.60286 0.46509
0.70063 22.60892 0.37759
0.80103 23.05428 0.99990
0.80249 23.05524 0.98608
0.80005 23.05598 0.97541
0.79914 23.05756 0.95259
0.79443 23.05938 0.92635
0.79035 23.06199 0.88876
0.78684 23.06497 0.84576
0.77991 23.06868 0.79220
0.77248 23.07257 0.73602
0.76160 23.07694 0.67317
0.75071 23.08193 0.60114
0.73804 23.08657 0.53433
0.72427 23.09199 0.45618
0.71159 23.09635 0.39346
0.69836 23.10290 0.29920
0.68176 23.12332 0.20526
0.80005 23.54997 0.99990
0.80188 23.55067 0.98989
0.80229 23.55166 0.97554
0.79983 23.55320 0.95338
0.79587 23.55521 0.92438
0.79082 23.55797 0.88459
0.78638 23.56104 0.84025
0.77992 23.56430 0.79327
0.77278 23.56829 0.73567
0.76580 23.57226 0.67858
0.75621 23.57720 0.60736
0.74360 23.58173 0.54196
0.72602 23.58750 0.45882
0.71185 23.59220 0.39112
0.69458 23.59897 0.29363
0.80200 24.05495 0.99937
0.79956 24.05586 0.98630
0.80276 24.05662 0.97528
0.80146 24.05783 0.95783
0.79787 24.06010 0.92515
0.79405 24.06242 0.89168
0.78716 24.06554 0.84666
0.78030 24.06947 0.78999
0.77258 24.07350 0.73186
0.76242 24.07750 0.67409
0.75173 24.08263 0.60023
0.74003 24.08624 0.54822
